HT,FT,AMY,GL,GW,GTEMP,G4432,G2670,G4744,G3092,G3486,G1533,G2639,G3823,G1378,G3105,G3102,G3098,G317,G5167,G1778,G3872,G4529,G1440,G5794,G4668,G2764,G457,G3862,G3964,G4109,G2089,G3219,G3209,G3222,G3212,G4573,G1311,G2949,G6003,G6010,G6123,G2815,G3049,YLD,CHALK,BROWN,SUB,G1888,G1958,G4156,G4382,G3136,G4145,G3106,G1266,G3927,G5997,G4553,G2179,G5006,G3992,G678,G3925
,91.56724489,19.19784916,5.8646093,2.194377156,84.45048106,0.450707087,-0.175527596,-0.106702245,-0.98558105,-0.952614259,-1.082645909,2.718367755,1.552564034,2.219453282,1.521184471,1.35272996,1.071599372,0.247538601,0.31838577,0.848414164,0.627256654,2.714912369,0.044601159,-0.02435671,0.080539454,0.743575358,0.485049188,-0.948900419,0.739950249,0.132410868,-0.299880992,-0.859334412,-0.25628543,2.563149726,0.384211536,2.680923388,0.032070861,-0.013583636,-0.089306935,0.178967496,-0.157834153,0.86832214,1.674521777,5.979890547,5.886610133,11.84137408,7.77863291,-0.382041894,0.604301772,0.833160615,0.71038104,1.610888535,0.917049541,1.403753725,-0.700598265,-0.008056292,-0.021234969,-0.480593246,-0.399174785,1.034778567,-0.035534301,0.627032638,0.231633766
,91.50351715,22.85288459,7.198825783,1.748244929,81.47026215,0.519767853,0.814991213,0.177357332,1.017225131,0.24060874,0.88521049,-0.024314371,1.980413002,0.187066073,1.199697552,0.910457602,-0.40916209,-0.378264064,-0.41287649,-1.239507381,0.215262257,1.285640995,-0.761605128,-0.661541333,-0.161524482,-0.147813551,1.885858768,-0.978644948,-0.418555862,0.220978231,1.949200307,-0.093854655,0.264809907,1.079552032,0.871493349,3.013496371,-0.838167642,-0.286665482,0.955535945,0.729716971,0.066911377,1.749359061,0.430462903,5.010052664,7.230123911,12.39997603,8.058370786,-0.245470919,-0.617250112,1.475567597,0.752490534,-0.026245226,1.014019632,0.280667176,0.077020464,-0.244823687,0.41802329,-0.063320586,0.353035766,-0.025361123,0.223523,1.054996253,0.029094685
,97.59158203,19.48976169,6.438984476,2.113058459,81.01629822,0.135140496,-0.809983832,0.152307551,1.109074738,0.945515797,1.588671355,0.30101631,0.190493192,0.857302433,1.352501548,0.692317942,0.723698868,1.371447496,-0.829050451,1.743793056,2.73067785,-0.061184674,-0.121087795,1.469342119,-0.788793189,0.279459715,0.514117734,-0.293493724,1.03044862,-0.889527737,1.234987164,-0.429180064,-0.443725612,2.071102346,0.171238255,1.990894777,-0.076800106,0.115585212,0.74329566,0.329185302,0.244787597,1.102345599,0.339254017,6.469127982,10.93237816,9.700130081,7.647236096,-0.487511833,0.345346212,-0.086082625,-0.026830188,-0.417623692,-0.799227353,1.310537338,0.619842739,1.372426641,-0.193483932,0.232936586,0.594154971,0.6628878,-0.925717805,0.33585905,1.858137816
,91.11669688,23.32378236,5.72396964,2.208521136,71.57196978,0.043169802,0.657450657,0.684016697,1.605232679,-0.10212426,-0.506225104,-0.365555985,0.700663529,0.801891584,0.097272817,-0.358900039,0.788949422,-0.376403543,0.594847472,2.209939593,0.653038611,1.738570358,-0.517399252,0.888569352,-0.218304826,0.403674964,-0.253840917,0.157875642,0.832042224,0.092150071,1.484763311,0.685981949,1.507668097,0.757879663,-0.800267378,2.560053416,0.144477638,-0.464490408,-1.768441873,-1.722672731,0.514959149,0.661778122,0.238697455,5.276752858,-2.507272593,8.666247367,7.581953087,-0.380345169,0.30335854,1.558751715,-0.225250299,2.096477892,0.86130817,0.092600353,1.249627789,0.85687782,-1.756937404,1.550690291,1.167318795,1.061394202,-0.290309719,0.343045438,0.195822987
,85.36603408,24.24005318,6.067684265,2.029590011,75.64994124,1.07939381,1.19983894,-0.132352749,0.691384162,0.245859533,-1.989368407,1.242542074,-1.401457478,-0.0546483,0.887397526,-0.221252986,1.160603087,0.162603346,1.2323953,0.586526748,-2.385817956,0.396260007,1.026171353,0.51366737,-0.091262588,0.298405049,0.044099987,0.811544201,0.672424139,-0.01735065,0.287729429,0.290919198,0.245879603,0.976547597,0.429474472,0.52145889,-0.310042575,0.520665273,0.339237959,0.649040155,0.649074999,0.478761047,1.257305849,5.825085438,8.722123722,16.25023422,8.652483989,1.025646057,-0.010814183,-0.443986789,0.299754319,-0.858848782,1.478167897,0.690555675,1.517342768,-0.289253354,0.124987674,-0.987368829,1.217848588,0.587469831,0.019294532,0.328518805,1.112526435
,86.80134087,18.80595835,6.41979981,2.208999577,76.12839503,0.002410048,0.345244639,0.432239768,0.25388168,0.690349463,-5.640663684,1.585800495,3.242691886,1.257204116,1.547555915,0.172258743,0.204173973,0.919783374,0.694212317,1.335810193,2.241601179,2.08818846,-0.236766753,0.999529873,-0.030790827,0.063364127,0.461385225,-0.788568265,-0.307849421,-0.528691664,-0.527623261,0.68604275,1.011510307,0.582166811,0.387332014,2.952096837,-0.370240016,0.088855899,0.250025057,0.246559463,0.148331859,0.682101259,-0.886280055,5.601090092,10.35218303,2.280329605,9.444997871,1.681641689,0.245636138,-0.42067199,-0.241643747,-1.735198369,0.700418689,1.546057682,0.311195589,-0.009818595,0.401697985,-0.181469396,-0.707265371,0.60173509,0.654207376,-0.510863652,0.329746797
,90.98542789,19.78863907,6.006679327,2.293852775,76.51143225,0.322128941,1.993985191,-0.416102435,0.415717221,-0.049218039,-1.639614627,-0.683292754,1.179189025,1.171042052,2.403760742,0.372213699,0.845098928,-0.079481621,-0.022246751,0.74341636,0.462461196,2.684792878,0.640634063,0.377270257,-0.146437356,0.808306255,-1.19062247,0.835786585,-0.061541292,-0.477409939,1.286813874,1.06020774,0.455083293,1.259973668,0.260252932,2.707116036,0.492117505,0.302145459,1.26286404,1.140154903,0.461208782,1.67416676,1.314797379,6.345956975,14.96247032,14.49936446,7.503030138,1.426656607,1.234841654,0.244938791,0.400463897,0.679684183,0.691125182,2.474962452,-0.509499647,-0.255898943,1.597715082,0.644393015,0.484120659,0.244256914,-0.622121443,-1.130603339,-0.355905634
,91.80843892,18.945602,5.743768471,1.795573258,79.12256974,0.236683002,-1.278232272,0.282975008,0.311813701,0.254363667,-1.444312496,-0.275933019,-0.531131071,0.315645246,2.688347832,1.625487107,-0.006316043,0.390715718,0.291211577,1.067548584,0.286398912,2.517301006,-0.547829551,0.18070254,0.720587709,0.068644093,0.991999358,0.35955016,1.781942642,0.383896807,-0.903918501,0.298622412,-0.070033837,1.348712483,1.593041224,3.139347345,0.695666809,0.954146384,0.692288286,1.466652746,1.31292269,1.005408699,-0.578632371,4.969880149,7.75947549,11.8601137,10.68815513,0.382746571,0.860708998,1.387002898,0.932481075,1.716733286,0.501767036,2.200478823,-1.225202727,-0.54003772,0.189210556,0.349074698,-0.072955031,0.657033222,-0.201301238,0.156777518,0.515715919
,90.10116629,20.90841542,6.767948041,2.257857246,80.51975579,-0.431600129,0.388343497,-1.17107138,0.36871178,2.021554628,-0.963341457,0.735842641,-0.099631566,-0.468361486,1.77903724,1.450166867,0.427771616,0.478208112,-0.148273486,0.97205621,0.458010491,1.848325606,-0.184029465,1.26861398,-0.114479666,1.04173948,0.795640585,0.185953938,-0.105284952,1.407700449,0.377836454,-0.240364753,-0.795259466,1.384011027,0.742015386,2.979187412,-0.167058437,1.444007418,-0.794048395,-0.875975537,0.495298075,0.319550672,1.424915451,6.020820699,15.20591929,7.984652064,8.480785368,0.747029017,0.158130272,2.956896831,0.007915967,1.356241177,1.303086858,1.814020705,0.975052938,0.84880087,0.29328418,0.851924714,0.086524993,-0.070972225,-0.420314758,1.338629915,1.217678684
,92.6087405,24.74634018,5.415979299,2.183157573,75.81292558,0.676235458,-0.52162954,-1.159539455,0.275203276,1.544254196,1.210190518,1.573717965,-0.03315428,-0.86012264,-1.303019798,-0.341499802,2.223094921,0.477394735,0.524088046,0.469751469,-0.840517583,0.02806729,0.044155433,0.085901237,0.622165738,0.083355051,-0.254236322,1.515827277,1.376772622,1.072784277,0.350672194,0.796438457,1.169461874,2.458523778,-0.776589298,2.3762363,0.879552993,-0.164792718,0.895400153,0.790599672,-0.027662368,0.58257566,0.441862697,7.422241451,14.09354128,17.30072631,8.316404708,0.348419744,-0.688864276,1.49037101,0.427530013,0.621170843,1.927446988,-0.529386766,0.005309318,-0.304629824,1.143066797,-0.079149873,0.546483779,0.204406514,0.539471322,-0.39750417,-0.037027044
